Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
25-Jul-25,360ONE,1077.9,1118.6, -0.0371,  0.0261,  0.0262,  0.4998,1080.4,1122.7, -0.0384,  0.0261,  0.0262,  0.5000,  0.0262,  0.5000
25-Jul-25,AARTIIND,430.25,433.7, -0.0080,  0.0229,  0.0228,  0.4360,429.8,433.95, -0.0096,  0.0231,  0.0231,  0.4405,  0.0231,  0.4405
25-Jul-25,ABB,5643,5699, -0.0099,  0.0210,  0.0210,  0.4011,5640.5,5709, -0.0121,  0.0208,  0.0208,  0.3972,  0.0210,  0.4011
25-Jul-25,ABCAPITAL,260.35,270.95, -0.0399,  0.0209,  0.0211,  0.4022,260,271.15, -0.0420,  0.0210,  0.0211,  0.4038,  0.0211,  0.4038
25-Jul-25,ABFRL,73.77,75.67, -0.0254,  0.0227,  0.0227,  0.4342,73.6,75.65, -0.0275,  0.0228,  0.0228,  0.4356,  0.0228,  0.4356
25-Jul-25,ACC,1847.7,1890, -0.0226,  0.0167,  0.0168,  0.3203,1848.2,1890.2, -0.0225,  0.0171,  0.0171,  0.3270,  0.0171,  0.3270
25-Jul-25,ADANIENSOL,817.2,849.05, -0.0382,  0.0318,  0.0318,  0.6080,816.35,849.45, -0.0397,  0.0318,  0.0319,  0.6089,  0.0319,  0.6089
25-Jul-25,ADANIENT,2550.1,2608.4, -0.0226,  0.0276,  0.0276,  0.5267,2550.1,2613.1, -0.0244,  0.0279,  0.0279,  0.5334,  0.0279,  0.5334
25-Jul-25,ADANIGREEN,975.9,1020.7, -0.0449,  0.0323,  0.0323,  0.6177,975.1,1021.4, -0.0464,  0.0325,  0.0326,  0.6225,  0.0326,  0.6225
25-Jul-25,ADANIPORTS,1396.3,1411.6, -0.0109,  0.0224,  0.0224,  0.4273,1394.6,1412.8, -0.0130,  0.0223,  0.0223,  0.4261,  0.0224,  0.4273
25-Jul-25,ALKEM,5012,4998.6,  0.0027,  0.0151,  0.0151,  0.2876,5017.9,5001.2,  0.0033,  0.0150,  0.0150,  0.2866,  0.0151,  0.2876
25-Jul-25,AMBER,7273,7375, -0.0139,  0.0302,  0.0302,  0.5765,7279,7396, -0.0159,  0.0302,  0.0302,  0.5765,  0.0302,  0.5765
25-Jul-25,AMBUJACEM,613.1,620.4, -0.0118,  0.0191,  0.0191,  0.3648,611.6,621.05, -0.0153,  0.0193,  0.0193,  0.3682,  0.0193,  0.3682
25-Jul-25,ANGELONE,2720.1,2796.9, -0.0278,  0.0309,  0.0309,  0.5899,2722.8,2800.1, -0.0280,  0.0309,  0.0309,  0.5910,  0.0309,  0.5910
25-Jul-25,APLAPOLLO,1543,1686.4, -0.0889,  0.0189,  0.0199,  0.3801,1546.2,1694.7, -0.0917,  0.0189,  0.0199,  0.3810,  0.0199,  0.3810
25-Jul-25,APOLLOHOSP,7468.5,7363.5,  0.0142,  0.0139,  0.0139,  0.2663,7464,7385,  0.0106,  0.0136,  0.0136,  0.2602,  0.0139,  0.2663
25-Jul-25,ASHOKLEY,121.95,124.8, -0.0231,  0.0185,  0.0185,  0.3530,122,125.05, -0.0247,  0.0181,  0.0181,  0.3459,  0.0185,  0.3530
25-Jul-25,ASIANPAINT,2336.2,2352.1, -0.0068,  0.0127,  0.0127,  0.2420,2336.2,2352.4, -0.0069,  0.0127,  0.0127,  0.2424,  0.0127,  0.2424
25-Jul-25,ASTRAL,1440.2,1472.6, -0.0222,  0.0172,  0.0172,  0.3288,1442.8,1470.2, -0.0188,  0.0173,  0.0173,  0.3311,  0.0173,  0.3311
25-Jul-25,ATGL,624.1,644.75, -0.0326,  0.0291,  0.0291,  0.5562,623.75,645.85, -0.0348,  0.0295,  0.0295,  0.5634,  0.0295,  0.5634
25-Jul-25,AUBANK,733.35,745.45, -0.0164,  0.0203,  0.0203,  0.3871,733.15,745.25, -0.0164,  0.0194,  0.0194,  0.3699,  0.0203,  0.3871
25-Jul-25,AUROPHARMA,1122.8,1114.1,  0.0078,  0.0184,  0.0183,  0.3503,1125.6,1118.1,  0.0067,  0.0185,  0.0185,  0.3532,  0.0185,  0.3532
25-Jul-25,AXISBANK,1086.1,1095.1, -0.0083,  0.0149,  0.0148,  0.2836,1087.4,1098.7, -0.0103,  0.0145,  0.0145,  0.2767,  0.0148,  0.2836
