Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Apr-2024,24-Apr-2024,47702.95,47947.25,47647.65,47913.70,47942.85,47913.70,197074.00,1415051.52,1897890.00,-1348230.00,47578.25
BANKNIFTY,01-Apr-2024,29-May-2024,47921.25,48215.20,47921.20,48168.50,48179.20,48168.50,100259.00,723715.87,464955.00,-1283265.00,47578.25
BANKNIFTY,01-Apr-2024,26-Jun-2024,48141.45,48496.90,48141.45,48478.70,48496.00,48478.70,1816.00,13193.15,13155.00,3855.00,47578.25
BANKNIFTY,02-Apr-2024,24-Apr-2024,47805.40,48051.00,47750.15,47892.90,47880.00,47892.90,106848.00,768166.19,1950870.00,52980.00,47545.45
BANKNIFTY,02-Apr-2024,29-May-2024,48100.00,48310.00,48040.35,48188.95,48176.20,48188.95,13586.00,98250.80,439320.00,-25635.00,47545.45
BANKNIFTY,02-Apr-2024,26-Jun-2024,48400.05,48600.10,48339.65,48478.45,48470.00,48478.45,1330.00,9677.15,16875.00,3720.00,47545.45
BANKNIFTY,03-Apr-2024,24-Apr-2024,47699.00,47967.00,47580.00,47912.30,47931.10,47912.30,124510.00,892874.65,2050095.00,99225.00,47624.25
BANKNIFTY,03-Apr-2024,29-May-2024,48040.00,48240.00,47900.95,48179.05,48200.05,48179.05,11961.00,86269.72,435600.00,-3720.00,47624.25
BANKNIFTY,03-Apr-2024,26-Jun-2024,48350.00,48550.90,48208.55,48509.90,48540.00,48509.90,1493.00,10837.31,21015.00,4140.00,47624.25
BANKNIFTY,04-Apr-2024,24-Apr-2024,48185.00,48323.50,47920.00,48199.10,48260.35,48199.10,169035.00,1220695.12,1816635.00,-233460.00,-
BANKNIFTY,04-Apr-2024,29-May-2024,48449.95,48575.00,48203.00,48458.80,48510.00,48458.80,16708.00,121291.54,370875.00,-64725.00,-
BANKNIFTY,04-Apr-2024,26-Jun-2024,48700.00,48899.00,48522.55,48802.00,48840.00,48802.00,2820.00,20613.06,30540.00,9525.00,-
BANKNIFTY,05-Apr-2024,24-Apr-2024,48170.00,48725.00,48014.05,48658.10,48690.00,48658.10,152874.00,1109601.82,2072010.00,255375.00,48493.05
BANKNIFTY,05-Apr-2024,29-May-2024,48450.00,48939.95,48276.70,48869.45,48895.00,48869.45,13881.00,101252.92,394065.00,23190.00,48493.05
BANKNIFTY,05-Apr-2024,26-Jun-2024,48800.65,49232.50,48590.10,49160.75,49152.95,49160.75,3256.00,23917.06,43215.00,12675.00,48493.05
BANKNIFTY,08-Apr-2024,24-Apr-2024,48705.10,48847.00,48567.05,48691.15,48680.00,48691.15,94123.00,687600.73,1988685.00,-83325.00,48581.70
BANKNIFTY,08-Apr-2024,29-May-2024,48990.90,49065.10,48787.35,48915.25,48894.00,48915.25,8448.00,61999.68,384675.00,-9390.00,48581.70
BANKNIFTY,08-Apr-2024,26-Jun-2024,49240.00,49319.00,49068.80,49195.90,49197.60,49195.90,1937.00,14293.40,43305.00,90.00,48581.70
BANKNIFTY,09-Apr-2024,24-Apr-2024,48857.00,49074.95,48622.05,48799.85,48809.75,48799.85,128733.00,943596.85,1956345.00,-32340.00,48730.55
BANKNIFTY,09-Apr-2024,29-May-2024,49000.05,49289.95,48848.00,49020.65,49027.15,49020.65,10919.00,80429.71,404655.00,19980.00,48730.55
BANKNIFTY,09-Apr-2024,26-Jun-2024,49201.85,49550.50,49137.80,49284.05,49275.00,49284.05,2262.00,16751.46,48000.00,4695.00,48730.55
BANKNIFTY,10-Apr-2024,24-Apr-2024,48901.10,49086.00,48760.05,49019.05,48975.00,49019.05,126078.00,926243.51,2143965.00,187620.00,48986.60
BANKNIFTY,10-Apr-2024,29-May-2024,49018.00,49296.95,48980.00,49222.30,49199.00,49222.30,10964.00,80888.60,425970.00,21315.00,48986.60
BANKNIFTY,10-Apr-2024,26-Jun-2024,49350.00,49550.00,49255.00,49480.35,49457.50,49480.35,2590.00,19213.46,49635.00,1635.00,48986.60
BANKNIFTY,12-Apr-2024,24-Apr-2024,48751.00,48914.75,48666.10,48714.10,48703.00,48714.10,119287.00,872728.47,1954440.00,-189525.00,-
BANKNIFTY,12-Apr-2024,29-May-2024,49200.00,49200.00,48908.00,48946.95,48925.00,48946.95,9167.00,67384.80,432495.00,6525.00,-
BANKNIFTY,12-Apr-2024,26-Jun-2024,49400.00,49406.30,49185.05,49226.30,49200.00,49226.30,1733.00,12808.04,47775.00,-1860.00,-
BANKNIFTY,15-Apr-2024,24-Apr-2024,47573.75,48449.85,47573.75,47851.15,47828.95,47851.15,154679.00,1116167.30,1850535.00,-103905.00,47773.25
BANKNIFTY,15-Apr-2024,29-May-2024,48600.00,48719.85,48116.40,48148.25,48123.10,48148.25,21458.00,155738.48,403560.00,-28935.00,47773.25
BANKNIFTY,15-Apr-2024,26-Jun-2024,48999.45,48999.45,48426.40,48464.00,48440.00,48464.00,4661.00,34035.89,54285.00,6510.00,47773.25
BANKNIFTY,16-Apr-2024,24-Apr-2024,47750.00,47750.00,47422.00,47660.95,47711.00,47660.95,122845.00,876889.44,1830375.00,-20160.00,47484.80
BANKNIFTY,16-Apr-2024,29-May-2024,47800.00,48010.00,47735.55,47944.95,48000.00,47944.95,17717.00,127217.37,437430.00,33870.00,47484.80
BANKNIFTY,16-Apr-2024,26-Jun-2024,48220.00,48323.70,48050.05,48257.55,48315.00,48257.55,3368.00,24345.95,64875.00,10590.00,47484.80
BANKNIFTY,18-Apr-2024,24-Apr-2024,47750.00,47953.85,47040.00,47175.05,47180.10,47175.05,183174.00,1304789.37,1882215.00,51840.00,47069.45
BANKNIFTY,18-Apr-2024,29-May-2024,48071.00,48221.20,47356.00,47472.70,47487.00,47472.70,28111.00,201450.46,494010.00,56580.00,47069.45
BANKNIFTY,18-Apr-2024,26-Jun-2024,48257.55,48548.60,47698.30,47808.65,47801.00,47808.65,4789.00,34533.35,76770.00,11895.00,47069.45
BANKNIFTY,19-Apr-2024,24-Apr-2024,46865.00,47682.35,46611.20,47575.60,47633.25,47575.60,183811.00,1300751.43,1649445.00,-232770.00,47574.15
BANKNIFTY,19-Apr-2024,29-May-2024,47291.85,47936.85,46931.20,47831.15,47895.00,47831.15,51314.00,365261.63,611670.00,117660.00,47574.15
BANKNIFTY,19-Apr-2024,26-Jun-2024,47751.00,48225.00,47255.00,48148.25,48198.00,48148.25,5660.00,40548.42,79950.00,3180.00,47574.15
BANKNIFTY,22-Apr-2024,24-Apr-2024,47990.00,48037.85,47596.45,47989.10,48021.00,47989.10,152561.00,1094547.80,1391025.00,-258420.00,47924.90
BANKNIFTY,22-Apr-2024,29-May-2024,48050.00,48242.55,47812.90,48138.35,48185.00,48138.35,57456.00,413785.03,849225.00,237555.00,47924.90
BANKNIFTY,22-Apr-2024,26-Jun-2024,48400.00,48565.80,48175.00,48517.40,48565.00,48517.40,8872.00,64360.13,133050.00,53100.00,47924.90
BANKNIFTY,23-Apr-2024,24-Apr-2024,48175.55,48175.55,47895.05,47991.65,47962.20,47991.65,101520.00,731214.51,992805.00,-398220.00,47970.45
BANKNIFTY,23-Apr-2024,29-May-2024,48315.00,48315.00,48040.00,48124.75,48092.00,48124.75,50928.00,367878.83,1162155.00,312930.00,47970.45
BANKNIFTY,23-Apr-2024,26-Jun-2024,48594.95,48600.00,48385.05,48458.40,48430.00,48458.40,5830.00,42417.30,120705.00,-12345.00,47970.45
BANKNIFTY,24-Apr-2024,24-Apr-2024,48102.10,48236.70,48000.00,48190.95,48190.00,48189.00,104382.00,754256.41,599580.00,-393225.00,48189.00
BANKNIFTY,24-Apr-2024,29-May-2024,48102.00,48369.10,48102.00,48350.30,48351.60,48350.30,94253.00,682979.44,1618305.00,456150.00,48189.00
BANKNIFTY,24-Apr-2024,26-Jun-2024,48421.25,48662.00,48421.25,48605.10,48620.00,48605.10,7297.00,53190.96,124770.00,4065.00,48189.00
BANKNIFTY,25-Apr-2024,29-May-2024,48005.40,48732.60,47999.90,48632.40,48643.15,48632.40,146912.00,1067433.69,1859505.00,241200.00,-
BANKNIFTY,25-Apr-2024,26-Jun-2024,48349.35,48925.90,48349.35,48839.75,48880.00,48839.75,11845.00,86491.07,199230.00,74460.00,-
BANKNIFTY,25-Apr-2024,31-Jul-2024,48800.00,49150.00,48251.00,49051.65,49058.30,49051.65,957.00,7029.67,6045.00,6045.00,-
BANKNIFTY,26-Apr-2024,29-May-2024,48660.00,48798.90,48265.15,48379.85,48475.05,48379.85,121624.00,885619.83,1746300.00,-113205.00,48201.05
BANKNIFTY,26-Apr-2024,26-Jun-2024,48903.90,49000.00,48510.00,48616.60,48690.05,48616.60,6332.00,46313.84,216570.00,17340.00,48201.05
BANKNIFTY,26-Apr-2024,31-Jul-2024,49100.05,49227.10,48790.00,48913.15,48960.05,48913.15,881.00,6478.31,8130.00,2085.00,48201.05
BANKNIFTY,29-Apr-2024,29-May-2024,48555.00,49581.45,48497.50,49549.75,49563.85,49549.75,219586.00,1618901.81,2174640.00,428340.00,49424.05
BANKNIFTY,29-Apr-2024,26-Jun-2024,48750.00,49770.00,48727.70,49742.75,49740.90,49742.75,16283.00,120408.36,277695.00,61125.00,49424.05
BANKNIFTY,29-Apr-2024,31-Jul-2024,48972.50,50022.10,48972.50,49987.95,50000.00,49987.95,3923.00,29231.89,33795.00,25665.00,49424.05
BANKNIFTY,30-Apr-2024,29-May-2024,49600.00,49927.45,49380.00,49450.55,49390.00,49450.55,229772.00,1709660.40,2275935.00,101295.00,49396.75
BANKNIFTY,30-Apr-2024,26-Jun-2024,49790.00,50082.55,49568.15,49644.45,49597.80,49644.45,13214.00,98694.06,290835.00,13140.00,49396.75
BANKNIFTY,30-Apr-2024,31-Jul-2024,50000.00,50325.00,49827.35,49898.60,49867.95,49898.60,3403.00,25543.34,43650.00,9855.00,49396.75
BANKNIFTY,02-May-2024,29-May-2024,49300.20,49588.00,49170.85,49388.35,49390.00,49388.35,111256.00,824220.79,2183625.00,-92310.00,-
BANKNIFTY,02-May-2024,26-Jun-2024,49605.00,49777.00,49400.00,49592.80,49610.00,49592.80,6894.00,51288.88,297885.00,7050.00,-
BANKNIFTY,02-May-2024,31-Jul-2024,49950.00,50010.00,49634.00,49847.85,49860.00,49847.85,1422.00,10630.46,44850.00,1200.00,-
BANKNIFTY,03-May-2024,29-May-2024,49506.05,49650.00,48870.00,49094.75,49051.00,49094.75,188836.00,1393358.81,1994235.00,-189390.00,48923.55
BANKNIFTY,03-May-2024,26-Jun-2024,49650.00,49847.95,49107.60,49322.30,49290.00,49322.30,13153.00,97476.37,286500.00,-11385.00,48923.55
BANKNIFTY,03-May-2024,31-Jul-2024,49990.95,50085.00,49390.00,49578.90,49567.90,49578.90,2783.00,20737.95,41940.00,-2910.00,48923.55
BANKNIFTY,06-May-2024,29-May-2024,49240.00,49420.00,48885.00,49045.65,49060.00,49045.65,149455.00,1102149.19,2041875.00,47640.00,48895.30
BANKNIFTY,06-May-2024,26-Jun-2024,49336.65,49619.95,49125.00,49275.15,49275.00,49275.15,10970.00,81267.44,278565.00,-7935.00,48895.30
BANKNIFTY,06-May-2024,31-Jul-2024,49719.95,49860.00,49401.00,49546.85,49544.00,49546.85,1899.00,14134.88,41295.00,-645.00,48895.30
BANKNIFTY,07-May-2024,29-May-2024,49075.05,49099.40,48285.50,48349.05,48331.00,48349.05,174936.00,1273997.70,2183295.00,141420.00,48285.35
