Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Jan-2025,29-Jan-2025,51289.95,51698.00,50850.00,51439.25,51493.65,51439.25,96417.00,742270.04,2230875.00,-21915.00,51060.60
BANKNIFTY,01-Jan-2025,26-Feb-2025,51699.85,52042.00,51230.10,51802.70,51864.95,51802.70,3244.00,50305.85,246390.00,9900.00,51060.60
BANKNIFTY,01-Jan-2025,26-Mar-2025,51750.00,52361.15,51566.75,52121.75,52200.00,52121.75,1240.00,19324.31,35820.00,1200.00,51060.60
BANKNIFTY,02-Jan-2025,30-Jan-2025,51439.95,51938.00,51329.95,51860.20,51875.75,51860.20,95000.00,736264.08,2259795.00,2259795.00,51605.55
BANKNIFTY,02-Jan-2025,27-Feb-2025,52029.95,52282.00,51708.15,52212.75,52225.00,52212.75,3991.00,62307.54,264810.00,264810.00,51605.55
BANKNIFTY,02-Jan-2025,27-Mar-2025,52190.80,52599.65,52051.00,52530.70,52560.00,52530.70,962.00,15105.01,40470.00,40470.00,51605.55
BANKNIFTY,03-Jan-2025,30-Jan-2025,51825.45,51928.75,51158.75,51259.20,51246.00,51259.20,114256.00,881980.14,2376705.00,116910.00,50988.80
BANKNIFTY,03-Jan-2025,27-Feb-2025,52128.50,52263.05,51534.75,51630.40,51580.85,51630.40,5210.00,81006.96,310290.00,45480.00,50988.80
BANKNIFTY,03-Jan-2025,27-Mar-2025,52525.00,52572.20,51900.00,51976.45,51950.00,51976.45,1611.00,25209.08,45270.00,4800.00,50988.80
BANKNIFTY,06-Jan-2025,30-Jan-2025,51184.90,51286.75,50000.00,50163.10,50150.50,50163.10,153207.00,1161736.84,2441610.00,64905.00,49922.00
BANKNIFTY,06-Jan-2025,27-Feb-2025,51630.00,51641.40,50370.00,50523.60,50535.00,50523.60,10795.00,164748.72,411150.00,100860.00,49922.00
BANKNIFTY,06-Jan-2025,27-Mar-2025,51840.70,51947.60,50721.45,50884.75,50899.00,50884.75,2982.00,45790.64,69630.00,24360.00,49922.00
BANKNIFTY,07-Jan-2025,30-Jan-2025,50150.00,50720.00,50150.00,50415.30,50395.50,50415.30,92665.00,701770.66,2295525.00,-146085.00,50202.15
BANKNIFTY,07-Jan-2025,27-Feb-2025,50608.95,51058.20,50560.00,50764.35,50744.10,50764.35,5146.00,78477.00,443190.00,32040.00,50202.15
BANKNIFTY,07-Jan-2025,27-Mar-2025,51139.15,51400.00,50930.00,51119.80,51129.95,51119.80,1308.00,20072.36,73260.00,3630.00,50202.15
BANKNIFTY,08-Jan-2025,30-Jan-2025,50389.80,50462.00,49625.00,50095.40,50100.00,50095.40,124361.00,933095.17,2350800.00,55275.00,49835.05
BANKNIFTY,08-Jan-2025,27-Feb-2025,50775.00,50807.85,49990.05,50456.25,50460.00,50456.25,7497.00,113236.48,505200.00,62010.00,49835.05
BANKNIFTY,08-Jan-2025,27-Mar-2025,51019.80,51147.55,50355.00,50816.80,50805.10,50816.80,2412.00,36692.84,87120.00,13860.00,49835.05
BANKNIFTY,09-Jan-2025,30-Jan-2025,49960.30,50018.60,49455.55,49787.25,49797.25,49787.25,91860.00,684919.07,2419500.00,68700.00,49503.50
BANKNIFTY,09-Jan-2025,27-Feb-2025,50357.00,50375.90,49825.00,50128.85,50150.00,50128.85,6824.00,102464.65,591660.00,86460.00,49503.50
BANKNIFTY,09-Jan-2025,27-Mar-2025,50750.00,50750.00,50191.00,50492.50,50504.40,50492.50,1900.00,28735.72,98670.00,11550.00,49503.50
BANKNIFTY,10-Jan-2025,30-Jan-2025,49421.60,49716.05,48789.00,48886.40,48886.65,48886.40,142452.00,1051572.67,2564565.00,145065.00,48734.15
BANKNIFTY,10-Jan-2025,27-Feb-2025,50150.00,50150.00,49150.00,49248.00,49257.40,49248.00,9081.00,135017.43,677280.00,85620.00,48734.15
BANKNIFTY,10-Jan-2025,27-Mar-2025,50175.20,50365.30,49511.45,49608.65,49618.55,49608.65,2792.00,41800.80,111990.00,13320.00,48734.15
BANKNIFTY,13-Jan-2025,30-Jan-2025,48430.00,48822.00,48102.00,48266.25,48242.40,48266.25,128422.00,933061.99,2493870.00,-70695.00,48041.25
BANKNIFTY,13-Jan-2025,27-Feb-2025,48999.95,49160.00,48447.00,48603.10,48577.10,48603.10,9879.00,144496.07,754350.00,77070.00,48041.25
BANKNIFTY,13-Jan-2025,27-Mar-2025,49212.00,49510.05,48814.50,48965.25,48926.25,48965.25,2408.00,35492.79,119370.00,7380.00,48041.25
