Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Jul-2024,31-Jul-2024,52524.00,52813.65,52301.00,52709.10,52700.00,52709.10,111351.00,878938.84,2509425.00,56505.00,-
BANKNIFTY,01-Jul-2024,28-Aug-2024,52693.90,52950.00,52475.00,52886.60,52875.00,52886.60,7554.00,59805.96,300495.00,27045.00,-
BANKNIFTY,01-Jul-2024,25-Sep-2024,52992.80,53245.00,52782.70,53175.45,53199.00,53175.45,1642.00,13072.44,26910.00,7200.00,-
BANKNIFTY,02-Jul-2024,31-Jul-2024,52850.05,52924.85,52184.20,52368.50,52380.00,52368.50,167105.00,1314292.72,2446635.00,-62790.00,52168.10
BANKNIFTY,02-Jul-2024,28-Aug-2024,53049.95,53050.00,52385.05,52561.15,52560.00,52561.15,8349.00,65896.56,287280.00,-13215.00,52168.10
BANKNIFTY,02-Jul-2024,25-Sep-2024,53399.95,53499.80,52704.10,52866.90,52850.00,52866.90,2395.00,19020.39,33015.00,6105.00,52168.10
BANKNIFTY,03-Jul-2024,31-Jul-2024,52855.30,53249.00,52594.20,53091.65,53094.85,53091.65,266617.00,2120852.19,2782650.00,336015.00,-
BANKNIFTY,03-Jul-2024,28-Aug-2024,53000.00,53400.00,52724.05,53247.95,53242.00,53247.95,15322.00,122273.00,319530.00,32250.00,-
BANKNIFTY,03-Jul-2024,25-Sep-2024,53100.00,53660.00,53010.55,53514.30,53517.00,53514.30,3582.00,28728.27,45690.00,12675.00,-
BANKNIFTY,04-Jul-2024,31-Jul-2024,53251.05,53301.10,52831.00,53166.20,53189.95,53166.20,126090.00,1003837.68,2792835.00,10185.00,53103.70
BANKNIFTY,04-Jul-2024,28-Aug-2024,53400.05,53425.50,53011.00,53324.60,53340.00,53324.60,9683.00,77321.23,337710.00,18180.00,53103.70
BANKNIFTY,04-Jul-2024,25-Sep-2024,53614.25,53687.35,53301.20,53576.30,53598.00,53576.30,2564.00,20587.59,50865.00,5175.00,53103.70
BANKNIFTY,05-Jul-2024,31-Jul-2024,52998.60,52998.60,52300.00,52724.10,52710.35,52724.10,177911.00,1403441.13,2607810.00,-185025.00,52660.35
BANKNIFTY,05-Jul-2024,28-Aug-2024,53151.90,53151.90,52500.00,52919.85,52901.00,52919.85,11964.00,94739.76,325350.00,-12360.00,52660.35
BANKNIFTY,05-Jul-2024,25-Sep-2024,53200.00,53377.85,52809.00,53212.75,53198.00,53212.75,3067.00,24421.85,46140.00,-4725.00,52660.35
BANKNIFTY,08-Jul-2024,31-Jul-2024,52611.00,52802.85,52350.10,52560.50,52578.00,52560.50,130740.00,1030897.79,2586810.00,-21000.00,52425.80
BANKNIFTY,08-Jul-2024,28-Aug-2024,52901.00,52996.10,52562.05,52761.55,52775.00,52761.55,6186.00,48961.42,331395.00,6045.00,52425.80
BANKNIFTY,08-Jul-2024,25-Sep-2024,53252.90,53289.00,52872.20,53069.20,53072.00,53069.20,1627.00,12953.76,47820.00,1680.00,52425.80
BANKNIFTY,09-Jul-2024,31-Jul-2024,52500.00,52743.70,52500.00,52615.75,52580.65,52615.75,79503.00,627775.48,2578005.00,-8805.00,-
BANKNIFTY,09-Jul-2024,28-Aug-2024,52770.00,52920.00,52744.05,52834.15,52805.35,52834.15,3812.00,30211.66,334500.00,3105.00,-
BANKNIFTY,09-Jul-2024,25-Sep-2024,53076.80,53200.00,53040.00,53114.15,53081.00,53114.15,879.00,7005.30,49845.00,2025.00,-
