Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Oct-2024,30-Oct-2024,53388.95,53645.00,53252.00,53381.20,53390.00,53381.20,116455.00,933353.88,1954680.00,166890.00,52922.60
BANKNIFTY,01-Oct-2024,27-Nov-2024,53750.00,53911.80,53575.00,53689.80,53690.00,53689.80,5858.00,47218.10,205545.00,-14295.00,52922.60
BANKNIFTY,01-Oct-2024,24-Dec-2024,54018.55,54199.95,53880.00,53994.70,54010.00,53994.70,1780.00,14425.36,49665.00,10560.00,52922.60
BANKNIFTY,03-Oct-2024,30-Oct-2024,52905.40,53050.00,52190.00,52384.75,52405.90,52384.75,169999.00,1341975.12,2445285.00,490605.00,51845.20
BANKNIFTY,03-Oct-2024,27-Nov-2024,53199.90,53350.00,52515.75,52691.80,52700.00,52691.80,17184.00,136384.45,235410.00,29865.00,51845.20
BANKNIFTY,03-Oct-2024,24-Dec-2024,53451.00,53669.95,52855.05,53036.00,53053.00,53036.00,4308.00,34434.59,66690.00,17025.00,51845.20
BANKNIFTY,04-Oct-2024,30-Oct-2024,52264.80,52741.00,51771.20,51871.45,51920.00,51871.45,185490.00,1454461.50,2603280.00,157995.00,51462.05
BANKNIFTY,04-Oct-2024,27-Nov-2024,52651.00,53039.70,52091.00,52164.15,52233.00,52164.15,16165.00,127423.03,256995.00,21585.00,51462.05
BANKNIFTY,04-Oct-2024,24-Dec-2024,52891.75,53350.00,52446.00,52531.85,52550.00,52531.85,4454.00,35305.36,82800.00,16110.00,51462.05
BANKNIFTY,07-Oct-2024,30-Oct-2024,51999.00,52140.00,50696.20,51016.25,51069.95,51016.25,258293.00,1990016.70,3062655.00,459375.00,50478.90
BANKNIFTY,07-Oct-2024,27-Nov-2024,52250.00,52450.00,51038.15,51338.35,51360.50,51338.35,25680.00,199188.68,312735.00,55740.00,50478.90
BANKNIFTY,07-Oct-2024,24-Dec-2024,52647.45,52760.00,51400.00,51659.60,51725.00,51659.60,7133.00,55646.81,108915.00,26115.00,50478.90
BANKNIFTY,08-Oct-2024,30-Oct-2024,51132.05,51559.00,50878.05,51392.50,51435.00,51392.50,130324.00,1003407.63,2964345.00,-98310.00,51021.00
BANKNIFTY,08-Oct-2024,27-Nov-2024,51499.95,51845.00,51200.00,51704.30,51721.35,51704.30,10090.00,78119.23,334170.00,21435.00,51021.00
BANKNIFTY,08-Oct-2024,24-Dec-2024,51757.30,52180.00,51583.30,52020.25,52070.00,52020.25,2887.00,22505.54,108840.00,-75.00,51021.00
BANKNIFTY,09-Oct-2024,30-Oct-2024,51460.00,52037.00,51311.30,51373.70,51400.10,51373.70,209682.00,1622336.53,3198270.00,233925.00,-
BANKNIFTY,09-Oct-2024,27-Nov-2024,51849.95,52320.00,51637.00,51693.90,51720.00,51693.90,15208.00,118395.71,358755.00,24585.00,-
BANKNIFTY,09-Oct-2024,24-Dec-2024,52098.95,52660.60,51972.10,52021.55,52060.00,52021.55,5204.00,40779.97,116685.00,7845.00,-
BANKNIFTY,10-Oct-2024,30-Oct-2024,51510.00,51930.00,51431.00,51780.95,51790.20,51780.95,95057.00,737316.60,3088065.00,-110205.00,-
BANKNIFTY,10-Oct-2024,27-Nov-2024,51770.00,52225.00,51735.25,52076.60,52099.00,52076.60,8796.00,68622.16,354090.00,-4665.00,-
BANKNIFTY,10-Oct-2024,24-Dec-2024,52120.95,52549.95,52086.85,52415.30,52421.30,52415.30,2994.00,23504.41,114285.00,-2400.00,-
BANKNIFTY,11-Oct-2024,30-Oct-2024,51897.00,51897.00,51219.10,51386.40,51391.05,51386.40,108197.00,835254.27,3129000.00,40935.00,-
BANKNIFTY,11-Oct-2024,27-Nov-2024,52057.55,52120.00,51550.00,51693.20,51697.05,51693.20,9008.00,69945.63,360540.00,6450.00,-
BANKNIFTY,11-Oct-2024,24-Dec-2024,52374.00,52442.55,51900.00,52048.20,52036.95,52048.20,3619.00,28280.30,126555.00,12270.00,-
BANKNIFTY,14-Oct-2024,30-Oct-2024,51469.95,52098.90,51426.40,52042.75,52085.00,52042.75,118369.00,921444.22,2904495.00,-224505.00,-
BANKNIFTY,14-Oct-2024,27-Nov-2024,51767.15,52382.90,51749.90,52326.70,52382.90,52326.70,9299.00,72804.90,370245.00,9705.00,-
BANKNIFTY,14-Oct-2024,24-Dec-2024,52099.25,52720.00,52098.90,52683.85,52720.00,52683.85,3437.00,27082.88,114360.00,-12195.00,-
BANKNIFTY,15-Oct-2024,30-Oct-2024,52176.00,52241.00,51910.20,52106.85,52145.00,52106.85,86912.00,678937.15,2909475.00,4980.00,-
BANKNIFTY,15-Oct-2024,27-Nov-2024,52457.75,52537.40,52231.00,52401.10,52420.00,52401.10,9122.00,71668.03,381045.00,10800.00,-
BANKNIFTY,15-Oct-2024,24-Dec-2024,52749.00,52854.05,52570.00,52747.95,52758.50,52747.95,2011.00,15903.82,116310.00,1950.00,-
BANKNIFTY,16-Oct-2024,30-Oct-2024,51944.70,52250.00,51944.70,52042.65,52022.65,52042.65,77710.00,607276.28,2891160.00,-18315.00,-
BANKNIFTY,16-Oct-2024,27-Nov-2024,52298.20,52529.95,52250.30,52340.70,52340.00,52340.70,5520.00,43379.30,387690.00,6645.00,-
BANKNIFTY,16-Oct-2024,24-Dec-2024,52727.50,52860.00,52600.05,52693.40,52690.00,52693.40,1739.00,13754.62,119610.00,3300.00,-
BANKNIFTY,17-Oct-2024,30-Oct-2024,52099.95,52160.00,51314.65,51491.70,51470.00,51491.70,121128.00,937236.82,2973525.00,82365.00,-
BANKNIFTY,17-Oct-2024,27-Nov-2024,52385.50,52450.00,51645.00,51804.35,51795.00,51804.35,12472.00,97070.03,418125.00,30435.00,-
BANKNIFTY,17-Oct-2024,24-Dec-2024,52731.15,52761.50,52000.05,52150.00,52150.00,52150.00,4036.00,31610.06,131580.00,11970.00,-
BANKNIFTY,18-Oct-2024,30-Oct-2024,51400.00,52420.00,51185.50,52310.40,52361.40,52310.40,170065.00,1325865.59,2562615.00,-410910.00,-
BANKNIFTY,18-Oct-2024,27-Nov-2024,51794.95,52688.75,51510.00,52585.80,52616.00,52585.80,19426.00,152272.55,446520.00,28395.00,-
BANKNIFTY,18-Oct-2024,24-Dec-2024,52197.05,53025.00,51855.60,52914.20,52973.20,52914.20,5967.00,47091.27,118890.00,-12690.00,-
BANKNIFTY,21-Oct-2024,30-Oct-2024,52462.05,52665.00,51936.05,52040.25,52003.50,52040.25,130574.00,1023108.28,2510640.00,-51975.00,-
BANKNIFTY,21-Oct-2024,27-Nov-2024,52700.00,52939.45,52250.00,52324.30,52297.00,52324.30,17692.00,139426.38,471780.00,25260.00,-
BANKNIFTY,21-Oct-2024,24-Dec-2024,53050.00,53240.55,52600.00,52689.20,52641.65,52689.20,3882.00,30784.57,124920.00,6030.00,-
BANKNIFTY,22-Oct-2024,30-Oct-2024,52105.30,52350.00,51365.65,51434.80,51394.35,51434.80,141639.00,1100293.76,2594685.00,84045.00,51257.15
BANKNIFTY,22-Oct-2024,27-Nov-2024,52305.50,52610.00,51685.10,51746.15,51701.35,51746.15,23358.00,182498.15,515490.00,43710.00,51257.15
BANKNIFTY,22-Oct-2024,24-Dec-2024,52827.40,52963.25,52029.00,52094.45,52060.00,52094.45,4835.00,37998.66,137415.00,12495.00,51257.15
BANKNIFTY,23-Oct-2024,30-Oct-2024,51305.35,51644.00,51218.40,51352.65,51362.05,51352.65,104977.00,809202.40,2425560.00,-169125.00,-
BANKNIFTY,23-Oct-2024,27-Nov-2024,51859.60,51959.95,51550.30,51667.35,51670.00,51667.35,21149.00,164041.20,600105.00,84615.00,-
BANKNIFTY,23-Oct-2024,24-Dec-2024,52362.20,52362.20,51900.00,52014.95,52010.00,52014.95,3452.00,26955.92,148065.00,10650.00,-
BANKNIFTY,24-Oct-2024,30-Oct-2024,51399.90,51896.90,51271.00,51605.75,51692.30,51605.75,127852.00,989875.78,2214030.00,-211530.00,51531.15
BANKNIFTY,24-Oct-2024,27-Nov-2024,51699.80,52198.00,51600.55,51951.30,51998.00,51951.30,22865.00,178087.45,671595.00,71490.00,51531.15
BANKNIFTY,24-Oct-2024,24-Dec-2024,52092.40,52525.00,51950.00,52280.90,52325.00,52280.90,3556.00,27877.20,144735.00,-3330.00,51531.15
BANKNIFTY,25-Oct-2024,30-Oct-2024,51544.70,51633.70,50374.75,50846.10,50895.50,50846.10,184374.00,1405409.51,2048175.00,-165855.00,50787.45
BANKNIFTY,25-Oct-2024,27-Nov-2024,51844.70,51957.35,50720.00,51161.00,51215.10,51161.00,70799.00,542933.09,1074165.00,402570.00,50787.45
BANKNIFTY,25-Oct-2024,24-Dec-2024,52266.70,52275.40,51087.05,51501.05,51566.05,51501.05,11339.00,87509.52,189645.00,44910.00,50787.45
BANKNIFTY,28-Oct-2024,30-Oct-2024,51105.30,51597.70,51014.50,51327.35,51396.00,51327.35,149554.00,1152458.70,1882845.00,-165330.00,51259.30
