Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,25-Apr-2025,29-May-2025,55355.00,55555.00,54409.40,54724.00,54671.00,54724.00,89453.00,1472028.95,2415090.00,-185700.00,54664.05
BANKNIFTY,25-Apr-2025,26-Jun-2025,55567.80,55749.60,54630.20,54944.80,54855.00,54944.80,6146.00,101509.73,182400.00,-4290.00,54664.05
BANKNIFTY,25-Apr-2025,31-Jul-2025,55947.40,56124.20,54788.20,55115.20,55040.00,55115.20,1201.00,23209.01,9835.00,9835.00,54664.05
BANKNIFTY,28-Apr-2025,29-May-2025,54735.20,55825.00,54650.00,55671.20,55678.80,55671.20,57179.00,951462.25,2460960.00,45870.00,55432.80
BANKNIFTY,28-Apr-2025,26-Jun-2025,54939.80,56000.00,54844.40,55856.00,55884.40,55856.00,3878.00,64775.98,200640.00,18240.00,55432.80
BANKNIFTY,28-Apr-2025,31-Jul-2025,55154.80,56125.00,54990.20,56025.00,56040.00,56025.00,1088.00,21251.44,18620.00,8785.00,55432.80
BANKNIFTY,29-Apr-2025,29-May-2025,55744.60,56194.80,55437.00,55509.60,55440.00,55509.60,54521.00,911993.30,2363700.00,-97260.00,55391.25
BANKNIFTY,29-Apr-2025,26-Jun-2025,55950.00,56370.80,55650.00,55700.20,55650.00,55700.20,3549.00,59558.34,213330.00,12690.00,55391.25
BANKNIFTY,29-Apr-2025,31-Jul-2025,56150.00,56526.00,55764.60,55863.60,55766.00,55863.60,985.00,19336.01,26705.00,8085.00,55391.25
BANKNIFTY,30-Apr-2025,29-May-2025,55440.00,55630.00,55131.00,55241.80,55180.00,55241.80,42501.00,705622.10,2294940.00,-68760.00,55087.15
BANKNIFTY,30-Apr-2025,26-Jun-2025,55618.80,55830.00,55350.00,55454.40,55381.00,55454.40,2855.00,47567.21,214350.00,1020.00,55087.15
BANKNIFTY,30-Apr-2025,31-Jul-2025,55731.00,55972.80,55477.40,55648.20,55580.00,55648.20,548.00,10680.90,30765.00,4060.00,55087.15
BANKNIFTY,02-May-2025,29-May-2025,55250.20,55929.00,55073.60,55209.80,55191.80,55209.80,65202.00,1084968.18,2252070.00,-42870.00,55115.35
BANKNIFTY,02-May-2025,26-Jun-2025,55381.00,56100.00,55300.00,55430.80,55421.00,55430.80,3736.00,62404.35,217650.00,3300.00,55115.35
BANKNIFTY,02-May-2025,31-Jul-2025,55576.00,56231.60,55480.00,55596.20,55636.80,55596.20,930.00,18170.13,33810.00,3045.00,55115.35
BANKNIFTY,05-May-2025,29-May-2025,55124.80,55448.00,54915.00,55080.60,55081.00,55080.60,41732.00,690139.84,2177730.00,-74340.00,54919.50
BANKNIFTY,05-May-2025,26-Jun-2025,55319.60,55676.00,55155.00,55309.80,55330.00,55309.80,3367.00,55887.02,219840.00,2190.00,54919.50
BANKNIFTY,05-May-2025,31-Jul-2025,55659.20,56028.80,55363.60,55492.40,55500.00,55492.40,700.00,13602.82,39935.00,6125.00,54919.50
BANKNIFTY,06-May-2025,29-May-2025,55050.60,55205.80,54267.00,54363.00,54267.00,54363.00,45488.00,745919.54,2046930.00,-130800.00,54271.40
BANKNIFTY,06-May-2025,26-Jun-2025,55201.00,55422.80,54503.00,54610.80,54503.00,54610.80,3857.00,63532.30,213990.00,-5850.00,54271.40
BANKNIFTY,06-May-2025,31-Jul-2025,55498.60,55566.80,54733.00,54813.60,54733.00,54813.60,976.00,18817.54,44870.00,4935.00,54271.40
BANKNIFTY,07-May-2025,29-May-2025,54250.00,54796.00,54037.60,54671.00,54720.00,54671.00,57985.00,948725.25,1891680.00,-155250.00,54610.90
BANKNIFTY,07-May-2025,26-Jun-2025,54340.00,55024.80,54256.40,54902.00,54974.20,54902.00,3824.00,62832.19,215550.00,1560.00,54610.90
BANKNIFTY,07-May-2025,31-Jul-2025,54550.00,55192.60,54350.20,55064.00,55090.00,55064.00,910.00,17494.47,44555.00,-315.00,54610.90
BANKNIFTY,08-May-2025,29-May-2025,54806.20,55029.00,54150.00,54288.60,54184.00,54288.60,52104.00,853421.78,1901730.00,10050.00,54365.65
BANKNIFTY,08-May-2025,26-Jun-2025,55014.00,55239.40,54402.00,54539.60,54433.40,54539.60,4574.00,75207.48,226680.00,11130.00,54365.65
BANKNIFTY,08-May-2025,31-Jul-2025,55289.80,55376.20,54575.00,54717.60,54580.00,54717.60,877.00,16866.43,48195.00,3640.00,54365.65
BANKNIFTY,09-May-2025,29-May-2025,54400.00,54400.00,53585.00,53732.00,53808.40,53732.00,55721.00,899716.47,1800750.00,-100980.00,53595.25
BANKNIFTY,09-May-2025,26-Jun-2025,54000.20,54392.40,53841.00,53985.80,54035.00,53985.80,7609.00,123406.04,219390.00,-7290.00,53595.25
BANKNIFTY,09-May-2025,31-Jul-2025,54200.00,54699.00,54027.20,54152.20,54246.20,54152.20,1481.00,28118.85,50750.00,2555.00,53595.25
BANKNIFTY,12-May-2025,29-May-2025,54648.00,55680.80,54502.20,55599.20,55671.00,55599.20,75749.00,1256723.10,1915170.00,114420.00,55382.85
BANKNIFTY,12-May-2025,26-Jun-2025,54894.80,55887.60,54825.80,55804.00,55870.00,55804.00,7420.00,123544.52,241290.00,21900.00,55382.85
BANKNIFTY,12-May-2025,31-Jul-2025,55100.00,56024.60,55000.00,55944.80,56011.00,55944.80,1935.00,37702.00,47215.00,-3535.00,55382.85
BANKNIFTY,13-May-2025,29-May-2025,55644.00,55644.00,55042.00,55089.00,55100.00,55089.00,52800.00,874963.17,1770270.00,-144900.00,54940.85
BANKNIFTY,13-May-2025,26-Jun-2025,55750.40,55819.60,55261.40,55312.20,55326.00,55312.20,5772.00,96043.02,241350.00,60.00,54940.85
BANKNIFTY,13-May-2025,31-Jul-2025,56100.00,56100.00,55454.20,55498.40,55520.00,55498.40,1383.00,26934.30,53165.00,5950.00,54940.85
BANKNIFTY,14-May-2025,29-May-2025,55124.40,55258.40,54576.80,54910.00,54972.00,54910.00,40926.00,674151.78,1763820.00,-6450.00,54801.30
BANKNIFTY,14-May-2025,26-Jun-2025,55396.00,55481.60,54819.80,55118.40,55166.60,55118.40,5309.00,87841.24,276990.00,35640.00,54801.30
BANKNIFTY,14-May-2025,31-Jul-2025,55600.00,55600.00,55040.40,55315.20,55371.40,55315.20,937.00,18139.46,55160.00,1995.00,54801.30
BANKNIFTY,15-May-2025,29-May-2025,54970.00,55499.60,54625.00,55399.60,55376.00,55399.60,56047.00,926558.25,1815150.00,51330.00,55355.60
BANKNIFTY,15-May-2025,26-Jun-2025,55160.00,55694.80,54850.40,55602.40,55569.00,55602.40,7650.00,127037.91,342690.00,65700.00,55355.60
BANKNIFTY,15-May-2025,31-Jul-2025,55371.40,55825.00,55061.40,55746.00,55739.00,55746.00,1376.00,26736.17,51485.00,-3675.00,55355.60
BANKNIFTY,16-May-2025,29-May-2025,55405.40,55600.00,55252.60,55503.20,55516.20,55503.20,25350.00,421695.35,1695210.00,-119940.00,55354.90
BANKNIFTY,16-May-2025,26-Jun-2025,55600.00,55787.60,55521.20,55719.40,55725.00,55719.40,4381.00,73156.29,367470.00,24780.00,55354.90
BANKNIFTY,16-May-2025,31-Jul-2025,55799.80,56100.00,55680.00,55857.20,55871.60,55857.20,779.00,15217.94,54670.00,3185.00,55354.90
BANKNIFTY,19-May-2025,29-May-2025,55536.20,55831.40,55403.40,55514.80,55512.20,55514.80,36088.00,602141.71,1720560.00,25350.00,55420.70
BANKNIFTY,19-May-2025,26-Jun-2025,55755.00,56039.20,55638.60,55731.40,55726.00,55731.40,6868.00,115041.33,424560.00,57090.00,55420.70
BANKNIFTY,19-May-2025,31-Jul-2025,55745.20,56149.80,55745.20,55895.80,55903.00,55895.80,1488.00,29161.00,56140.00,1470.00,55420.70
BANKNIFTY,20-May-2025,29-May-2025,55700.00,55701.60,55030.00,55103.80,55087.00,55103.80,37922.00,628786.50,1696140.00,-24420.00,54877.35
BANKNIFTY,20-May-2025,26-Jun-2025,55795.00,55888.00,55290.00,55352.00,55356.00,55352.00,7195.00,119744.06,431700.00,7140.00,54877.35
BANKNIFTY,20-May-2025,31-Jul-2025,56176.20,56176.40,55470.00,55518.00,55525.00,55518.00,1055.00,20561.55,60900.00,4760.00,54877.35
BANKNIFTY,21-May-2025,29-May-2025,55201.00,55450.00,54773.00,55142.00,55130.00,55142.00,46940.00,776571.10,1682520.00,-13620.00,55075.10
