Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,62200.00,74.85,74.85,27.10,29.95,28.85,29.95,60.00,1306.87,0.67,945.00,945.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,59700.00,188.95,202.20,153.85,195.45,200.70,195.45,3632.00,76125.32,234.68,39270.00,2415.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,48900.00,-,-,-,7415.85,-,8801.55,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,49300.00,-,-,-,7065.90,-,8404.30,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,56000.00,1867.00,2000.00,1712.20,1953.25,1971.30,1953.25,3845.00,77882.43,2520.43,1419775.00,525.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,58100.00,600.15,676.00,533.20,655.50,658.40,655.50,8772.00,180266.54,1887.92,69475.00,18655.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,51600.00,-,-,-,5180.00,5180.00,6137.40,-,-,-,105.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,54000.00,3628.20,3750.00,3447.00,3730.35,3735.15,3730.35,95.00,1915.23,119.73,126315.00,560.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,60600.00,96.00,98.55,76.20,94.80,94.60,94.80,2791.00,59285.91,88.80,19040.00,10395.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,59000.00,322.90,354.10,270.90,342.30,348.95,342.30,35722.00,741624.72,3965.42,790265.00,125090.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,52200.00,-,-,-,4580.00,4580.00,5557.85,-,-,-,35.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,56400.00,1568.60,1692.85,1460.00,1663.25,1675.00,1663.25,90.00,1826.71,50.11,16695.00,-630.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,60400.00,112.80,115.35,88.45,110.10,108.55,110.10,3970.00,84070.53,144.73,53130.00,8820.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,49200.00,-,-,-,7152.85,-,8503.55,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,61900.00,-,-,-,595.35,-,165.85,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,55400.00,2271.10,2500.00,2271.10,2500.00,2500.00,2743.70,16.00,324.16,13.92,2310.00,-175.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,50200.00,-,-,-,5723.70,5723.70,7512.35,-,-,-,35.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,50800.00,-,-,-,6569.70,6569.70,6920.40,-,-,-,350.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,52900.00,-,-,-,3633.50,3633.50,4894.55,-,-,-,70.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,CE,56700.00,1374.95,1470.00,1238.55,1441.65,1434.65,1441.65,2775.00,56356.67,1286.79,69230.00,-1610.00,57459.45
