Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,52700.00,43.20,47.95,37.55,43.70,41.75,43.70,1050.00,19383.41,16.16,21105.00,6825.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,60700.00,-,-,-,5227.00,-,3269.30,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,55700.00,256.50,283.75,229.30,238.60,239.00,238.60,4168.00,81624.51,369.35,83580.00,12810.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,56100.00,350.05,372.95,299.55,312.70,310.20,312.70,4144.00,81851.56,484.12,61985.00,-1505.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,60200.00,-,-,-,4849.95,-,2869.60,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,61400.00,-,-,-,5776.10,-,3860.40,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,57600.00,849.10,955.55,776.05,811.85,809.95,811.85,26276.00,537565.56,7841.40,74935.00,2905.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,54700.00,139.00,143.15,119.60,125.60,125.70,125.60,1470.00,28209.69,66.54,20020.00,4515.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,50100.00,16.80,22.95,15.05,18.60,19.20,18.60,282.00,4946.61,1.74,1050.00,-315.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,60800.00,-,-,-,5304.15,-,3351.65,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,51200.00,21.00,30.20,21.00,25.90,25.90,25.90,344.00,6167.69,3.21,5355.00,1820.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,55300.00,195.65,215.45,175.65,183.50,186.15,183.50,5362.00,104144.48,362.97,37485.00,15085.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,53500.00,65.10,68.10,58.20,62.90,61.10,62.90,13878.00,260175.14,309.59,304115.00,19460.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,59600.00,-,-,-,2953.85,2953.85,2418.60,-,-,-,140.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,59300.00,-,-,-,3745.05,3745.05,2206.70,-,-,-,210.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,53800.00,78.80,80.00,70.35,73.60,71.35,73.60,1896.00,35751.57,49.89,42980.00,10290.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,61800.00,-,-,-,6098.90,-,4212.05,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,55800.00,272.75,303.85,244.05,255.05,256.00,255.05,7056.00,138486.32,682.64,99855.00,-10850.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,47500.00,7.80,11.75,7.80,10.00,9.60,10.00,752.00,12504.73,2.73,10640.00,3325.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,55900.00,290.00,326.05,262.00,273.30,274.95,273.30,5415.00,106501.70,557.23,74935.00,13230.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,62400.00,-,-,-,6594.50,-,4755.05,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,61000.00,3419.40,3625.45,3300.00,3354.00,3355.00,3354.00,89.00,2007.04,106.89,27790.00,560.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,48500.00,10.05,14.40,9.60,12.35,12.50,12.35,1567.00,26606.58,6.75,31150.00,-2835.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,61300.00,-,-,-,5696.40,-,3773.95,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,58300.00,1243.95,1365.75,1150.70,1184.80,1184.15,1184.80,212.00,4417.75,91.89,6510.00,350.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,52300.00,35.00,42.35,28.15,37.35,36.75,37.35,728.00,13335.50,9.46,4550.00,-3150.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,63000.00,5450.00,5509.70,5260.00,5330.90,5341.40,5330.90,25.00,597.90,46.65,21000.00,35.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,57700.00,929.55,1006.00,825.00,855.70,853.55,855.70,12839.00,263265.30,3981.69,100625.00,43855.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,61900.00,-,-,-,6180.60,-,4301.35,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,53100.00,52.25,56.70,46.40,52.25,51.40,52.25,668.00,12427.04,12.26,10640.00,3325.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,48600.00,12.70,14.95,9.70,12.95,12.90,12.95,207.00,3521.97,0.90,3535.00,-1330.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,56900.00,563.85,632.25,507.60,528.30,523.15,528.30,8723.00,175462.40,1743.85,100835.00,8505.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,58700.00,1552.00,1580.00,1407.20,1440.00,1424.00,1440.00,98.00,2062.74,49.33,4200.00,-70.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,52100.00,32.80,38.35,28.60,34.95,33.55,34.95,429.00,7827.83,5.01,5320.00,-1050.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,55600.00,238.15,265.00,213.45,223.45,223.20,223.45,3605.00,70456.67,303.37,60620.00,-7105.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,52800.00,43.10,50.60,39.10,45.30,43.00,45.30,1472.00,27226.51,23.95,15155.00,7210.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,57300.00,747.95,805.60,651.00,677.70,675.35,677.70,64517.00,1310449.95,16561.51,244965.00,68530.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,54600.00,126.95,133.55,112.80,117.10,113.80,117.10,1268.00,24285.53,54.05,25970.00,1750.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,50800.00,20.50,27.60,18.05,22.65,22.70,22.65,131.00,2330.27,1.09,3080.00,70.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,51000.00,20.05,27.45,19.35,24.60,24.70,24.60,17628.00,314811.48,151.68,362285.00,88165.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,60300.00,-,-,-,4924.90,-,2947.90,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,57100.00,640.05,716.90,574.15,600.70,599.95,600.70,19505.00,394264.62,4457.19,153440.00,29050.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,61200.00,-,-,-,5617.10,-,3688.15,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,58600.00,1435.95,1552.00,1343.30,1373.35,1373.85,1373.35,58.00,1218.48,28.90,3290.00,595.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,52400.00,35.95,43.70,32.30,39.20,40.95,39.20,1114.00,20445.63,14.87,9835.00,1225.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,62100.00,-,-,-,6345.05,-,4481.45,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,62300.00,-,-,-,6511.00,-,4663.40,-,-,-,-,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,60500.00,2943.00,2943.00,2850.00,2850.00,2850.00,3107.00,6.00,133.13,6.08,945.00,-210.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,56200.00,358.60,400.00,318.55,334.10,329.05,334.10,5866.00,116119.01,734.79,88725.00,7420.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,58900.00,1550.00,1590.85,1545.10,1568.40,1590.85,1568.40,95.00,2010.26,51.84,3290.00,3045.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,60900.00,-,-,-,4055.55,4055.55,3434.70,-,-,-,70.00,-,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,47000.00,8.05,10.45,7.25,8.95,8.60,8.95,2196.00,36131.18,6.98,29295.00,5040.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,46000.00,5.70,8.40,5.20,6.95,6.80,6.95,22777.00,366767.21,57.51,488845.00,129815.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,46500.00,6.75,9.40,5.95,7.95,7.65,7.95,2619.00,42631.58,7.35,21700.00,8400.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,59000.00,1750.00,1875.70,1602.00,1647.40,1640.00,1647.40,1077.00,22892.57,652.52,48090.00,315.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,52500.00,35.85,45.45,33.95,40.35,39.80,40.35,15355.00,282361.56,213.44,304955.00,70350.00,57459.45
BANKNIFTY,01-Jul-2025,31-Jul-2025,PE,49100.00,12.20,17.55,11.55,14.35,14.40,14.35,352.00,6050.84,1.72,2765.00,980.00,57459.45
