CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,847",-72,80,-,"10,570.00",-551.05,35,"10,458.15","10,576.15",35,"46,000.00","11,515",2.10,2.35,560,0.15,2.10,56.15,"31,788","-6,535","18,400",
,-,-,-,-,-,-,595,"9,876.30","10,266.10",595,"46,500.00",455,1.75,2.25,630,0.25,2.25,53.81,"2,583",34,984,
,229,-6,12,52.82,"9,600.20",-539.80,35,"9,455.50","9,568.10",70,"47,000.00",70,2.30,2.90,350,0.15,2.30,51.23,"2,099",17,"1,602",
,1,-,-,-,-,-,595,"8,869.25","9,183.60",595,"47,500.00",35,2.15,2.85,315,0.10,2.05,48.04,"2,832",-67,476,
,290,-94,107,-,"8,570.00",-502.30,35,"8,437.55","8,572.25",35,"48,000.00",595,2.30,2.75,35,0.40,2.75,46.71,"3,925",201,"5,429",
,31,-,-,-,-,-,35,"7,935.60","8,231.70",595,"48,500.00",70,2.40,5.10,350,0.15,2.45,43.54,"1,398",-26,"1,304",
,-,-,-,-,-,-,595,"7,574.00","8,175.85",595,"48,600.00",35,2.00,3.50,210,-0.20,2.20,42.57,147,-10,109,
,-,-,-,-,-,-,595,"7,480.60","8,100.55",595,"48,700.00",735,1.80,3.50,35,-0.05,2.30,42.22,57,-2,84,
,-,-,-,-,-,-,595,"7,379.25","7,964.10",595,"48,800.00",140,1.65,3.00,35,-0.90,1.80,40.73,183,18,176,
,-,-,-,-,-,-,595,"7,316.00","7,862.05",595,"48,900.00",140,1.90,3.00,175,0.75,3.00,42.28,76,-8,66,
,768,-161,172,-,"7,585.95",-435.05,70,"7,460.35","7,566.55",70,"49,000.00",735,2.00,3.30,35,-0.35,2.00,40.39,901,-9,"2,927",
,-,-,-,-,-,-,595,"7,095.90","7,666.90",595,"49,100.00",70,1.55,8.00,350,0.10,2.50,40.46,52,1,82,
,-,-,-,-,-,-,595,"6,998.90","7,558.10",595,"49,200.00",140,1.65,7.20,350,-0.20,1.95,38.98,55,-18,110,
,-,-,-,-,-,-,595,"6,903.45","7,480.35",595,"49,300.00",70,1.75,8.00,350,0.40,2.40,39.25,92,6,43,
,-,-,-,-,-,-,595,"6,833.15","7,365.75",595,"49,400.00",70,1.95,8.00,350,-1.70,2.10,38.23,26,1,66,
,74,-23,38,40.12,"7,105.00",-553.45,595,"6,890.60","7,066.50",70,"49,500.00",35,2.20,3.80,35,1.25,3.75,40.01,351,-17,"1,164",
,-,-,-,-,-,-,595,"6,615.85","7,151.40",595,"49,600.00",140,1.80,7.70,350,-1.10,2.30,37.53,5,-1,129,
,-,-,-,-,-,-,595,"6,527.85","7,073.50",595,"49,700.00",140,1.80,8.00,350,-1.25,2.35,37.09,57,-,48,
,-,-,-,-,-,-,595,"6,447.15","6,979.40",595,"49,800.00",140,1.80,7.90,350,0.95,3.75,38.38,20,5,45,
,-,-,-,-,-,-,595,"6,322.20","6,858.00",595,"49,900.00",140,1.85,4.00,35,-,3.40,37.45,7,-,36,
,"2,817",-198,217,-,"6,550.00",-533.00,35,"6,522.05","6,557.40",35,"50,000.00","1,085",2.80,3.50,105,1.00,3.50,36.74,"4,325",-543,"6,478",
,-,-,-,-,-,-,595,"6,152.80","6,681.80",595,"50,100.00",140,2.15,7.70,350,-0.40,2.60,35.37,5,-,66,
,1,-,-,-,-,-,595,"6,198.20","6,532.75",595,"50,200.00",35,2.45,4.15,350,0.50,3.45,35.90,45,-26,128,
